record_id,platform,architecture,f1_bearer,observation_rank,dl_mbps
PI-ETH-FINAL,Raspberry_Pi_5,split,Ethernet,17,25.1
PI-ETH-FINAL,Raspberry_Pi_5,split,Ethernet,18,25.1
PI-ETH-FINAL,Raspberry_Pi_5,split,Ethernet,19,25.5
PI-ETH-FINAL,Raspberry_Pi_5,split,Ethernet,20,26.7
PI-GRE-FINAL,Raspberry_Pi_5,split,Wi-Fi_GRE,1,8.8
PI-GRE-FINAL,Raspberry_Pi_5,split,Wi-Fi_GRE,2,8.9
PI-GRE-FINAL,Raspberry_Pi_5,split,Wi-Fi_GRE,3,9.8
PI-GRE-FINAL,Raspberry_Pi_5,split,Wi-Fi_GRE,4,9.8
PI-GRE-FINAL,Raspberry_Pi_5,split,Wi-Fi_GRE,5,10.0
PI-GRE-FINAL,Raspberry_Pi_5,split,Wi-Fi_GRE,6,10.1
PI-GRE-FINAL,Raspberry_Pi_5,split,Wi-Fi_GRE,7,10.4
PI-GRE-FINAL,Raspberry_Pi_5,split,Wi-Fi_GRE,8,11.1
PI-GRE-FINAL,Raspberry_Pi_5,split,Wi-Fi_GRE,9,11.3
PI-GRE-FINAL,Raspberry_Pi_5,split,Wi-Fi_GRE,10,12.1
PI-GRE-FINAL,Raspberry_Pi_5,split,Wi-Fi_GRE,11,12.1
PI-GRE-FINAL,Raspberry_Pi_5,split,Wi-Fi_GRE,12,13.7
PI-GRE-FINAL,Raspberry_Pi_5,split,Wi-Fi_GRE,13,13.8
PI-GRE-FINAL,Raspberry_Pi_5,split,Wi-Fi_GRE,14,14.6
PI-GRE-FINAL,Raspberry_Pi_5,split,Wi-Fi_GRE,15,15.0
PI-GRE-FINAL,Raspberry_Pi_5,split,Wi-Fi_GRE,16,15.2
PI-GRE-FINAL,Raspberry_Pi_5,split,Wi-Fi_GRE,17,16.2
PI-GRE-FINAL,Raspberry_Pi_5,split,Wi-Fi_GRE,18,17.1
PI-GRE-FINAL,Raspberry_Pi_5,split,Wi-Fi_GRE,19,17.2
PI-GRE-FINAL,Raspberry_Pi_5,split,Wi-Fi_GRE,20,17.4
PI-QWG-FINAL,Raspberry_Pi_5,split,5G_WireGuard,1,46.5
PI-QWG-FINAL,Raspberry_Pi_5,split,5G_WireGuard,2,46.7
PI-QWG-FINAL,Raspberry_Pi_5,split,5G_WireGuard,3,47.0
PI-QWG-FINAL,Raspberry_Pi_5,split,5G_WireGuard,4,47.2
PI-QWG-FINAL,Raspberry_Pi_5,split,5G_WireGuard,5,47.2
PI-QWG-FINAL,Raspberry_Pi_5,split,5G_WireGuard,6,47.5
PI-QWG-FINAL,Raspberry_Pi_5,split,5G_WireGuard,7,47.7
PI-QWG-FINAL,Raspberry_Pi_5,split,5G_WireGuard,8,47.7
PI-QWG-FINAL,Raspberry_Pi_5,split,5G_WireGuard,9,47.7
PI-QWG-FINAL,Raspberry_Pi_5,split,5G_WireGuard,10,47.8
PI-QWG-FINAL,Raspberry_Pi_5,split,5G_WireGuard,11,47.8
PI-QWG-FINAL,Raspberry_Pi_5,split,5G_WireGuard,12,47.9
PI-QWG-FINAL,Raspberry_Pi_5,split,5G_WireGuard,13,47.9
PI-QWG-FINAL,Raspberry_Pi_5,split,5G_WireGuard,14,47.9
PI-QWG-FINAL,Raspberry_Pi_5,split,5G_WireGuard,15,48.1
PI-QWG-FINAL,Raspberry_Pi_5,split,5G_WireGuard,16,48.1
PI-QWG-FINAL,Raspberry_Pi_5,split,5G_WireGuard,17,48.1
PI-QWG-FINAL,Raspberry_Pi_5,split,5G_WireGuard,18,48.7
PI-QWG-FINAL,Raspberry_Pi_5,split,5G_WireGuard,19,49.1
PI-QWG-FINAL,Raspberry_Pi_5,split,5G_WireGuard,20,49.3
JETSON-ETH-FINAL,Jetson_Orin_Nano,split,Ethernet,1,8.4
JETSON-ETH-FINAL,Jetson_Orin_Nano,split,Ethernet,2,8.5
JETSON-ETH-FINAL,Jetson_Orin_Nano,split,Ethernet,3,8.7
JETSON-ETH-FINAL,Jetson_Orin_Nano,split,Ethernet,4,8.7
JETSON-ETH-FINAL,Jetson_Orin_Nano,split,Ethernet,5,9.0
JETSON-ETH-FINAL,Jetson_Orin_Nano,split,Ethernet,6,9.5
JETSON-ETH-FINAL,Jetson_Orin_Nano,split,Ethernet,7,9.6
JETSON-ETH-FINAL,Jetson_Orin_Nano,split,Ethernet,8,9.8
JETSON-ETH-FINAL,Jetson_Orin_Nano,split,Ethernet,9,9.8
JETSON-ETH-FINAL,Jetson_Orin_Nano,split,Ethernet,10,9.9
JETSON-ETH-FINAL,Jetson_Orin_Nano,split,Ethernet,11,10.2
JETSON-ETH-FINAL,Jetson_Orin_Nano,split,Ethernet,12,10.4
JETSON-ETH-FINAL,Jetson_Orin_Nano,split,Ethernet,13,10.7
JETSON-ETH-FINAL,Jetson_Orin_Nano,split,Ethernet,14,10.7
JETSON-ETH-FINAL,Jetson_Orin_Nano,split,Ethernet,15,11.2
JETSON-ETH-FINAL,Jetson_Orin_Nano,split,Ethernet,16,11.3
JETSON-ETH-FINAL,Jetson_Orin_Nano,split,Ethernet,17,11.5
JETSON-ETH-FINAL,Jetson_Orin_Nano,split,Ethernet,18,11.6
JETSON-ETH-FINAL,Jetson_Orin_Nano,split,Ethernet,19,11.6
JETSON-ETH-FINAL,Jetson_Orin_Nano,split,Ethernet,20,12.6
JETSON-GRE-FINAL,Jetson_Orin_Nano,split,Wi-Fi_GRE,1,7.1
JETSON-GRE-FINAL,Jetson_Orin_Nano,split,Wi-Fi_GRE,2,7.5
JETSON-GRE-FINAL,Jetson_Orin_Nano,split,Wi-Fi_GRE,3,7.5
JETSON-GRE-FINAL,Jetson_Orin_Nano,split,Wi-Fi_GRE,4,7.6
JETSON-GRE-FINAL,Jetson_Orin_Nano,split,Wi-Fi_GRE,5,7.6
JETSON-GRE-FINAL,Jetson_Orin_Nano,split,Wi-Fi_GRE,6,7.6
